,0,1
631,152,273
632,152,20
633,152,64
634,152,42
635,152,141
636,153,55
637,154,302
638,156,145
639,157,245
640,157,256
641,157,80
642,157,333
643,157,102
644,157,421
645,157,234
646,157,14
647,157,69
648,157,58
649,157,168
650,157,179
651,157,322
652,157,91
653,157,36
654,157,201
655,157,311
656,157,135
657,157,47
658,158,213
659,158,444
660,158,246
661,158,279
662,158,147
663,158,389
664,158,268
665,158,59
666,158,70
667,159,38
668,160,16
669,160,448
670,161,447
671,162,10
672,162,41
673,162,203
674,162,423
675,162,30
676,162,252
677,162,407
678,162,272
679,162,49
680,162,446
681,165,302
682,168,313
683,168,411
684,168,345
685,168,367
686,168,378
687,168,4
688,168,169
689,169,191
690,169,92
691,169,312
692,169,59
693,170,181
694,171,61
695,171,83
696,171,391
697,171,38
698,173,357
699,173,39
700,173,38
701,173,203
702,173,71
703,173,402
704,173,74
705,173,292
706,174,20
707,174,75
708,174,361
709,174,302
710,175,55
711,175,186
712,175,208
713,178,321
714,178,13
715,179,113
716,179,302
717,179,124
718,179,212
719,179,14
720,179,256
721,180,202
722,180,246
723,180,37
724,180,4
725,180,355
726,180,125
727,180,290
728,181,170
729,185,402
730,186,237
731,186,38
732,186,10
733,186,55
734,188,55
735,188,221
736,190,290
737,191,302
738,191,169
739,191,444
740,191,81
741,191,70
742,191,334
743,191,15
744,191,92
745,191,312
746,191,213
747,191,389
748,191,268
749,191,246
750,191,367
751,191,378
752,191,290
753,191,48
754,191,433
755,193,185
756,195,371
757,195,382
758,195,184
759,195,349
760,195,397
761,195,140
762,195,338
763,196,20
764,196,361
765,196,306
766,196,31
767,199,78
768,199,210
769,201,125
770,202,4
771,202,313
772,202,48
773,202,410
774,202,302
775,202,60
776,204,340
777,204,281
778,204,349
779,204,397
780,205,309
781,207,86
782,209,57
783,210,38
784,210,280
785,210,299
786,212,179
787,212,278
788,212,80
789,212,267
790,212,344
791,212,366
792,212,377
793,212,333
794,212,256
795,212,399
796,212,168
797,212,322
798,212,113
799,212,124
800,212,58
801,212,201
802,212,91
803,212,421
804,212,47
805,213,246
806,213,59
807,213,158
808,213,444
809,213,290
810,213,191
811,213,147
812,213,389
813,213,81
814,213,301
815,213,433
816,213,312
817,213,114
818,213,367
819,213,378
820,214,263
821,214,72
822,216,281
823,217,302
824,217,109
825,217,56
826,217,206
827,217,162
828,217,0
829,217,349
830,217,397
831,219,55
832,219,23
833,219,276
834,220,237
835,221,56
836,221,321
