,0,1
195,118,493
196,118,204
197,122,445
198,124,351
199,124,749
200,124,804
201,125,351
202,125,749
203,125,804
204,127,574
205,135,640
206,135,663
207,135,966
208,136,2
209,136,208
210,136,421
211,136,159
212,136,117
213,136,160
214,136,172
215,138,419
216,139,4
217,139,49
218,139,201
219,145,376
220,148,300
221,148,190
222,148,345
223,148,152
224,148,896
225,150,995
226,152,148
227,152,138
228,152,117
229,152,15
230,152,2
231,152,76
232,152,28
233,152,196
234,152,136
235,152,218
236,152,459
237,152,300
238,159,233
239,159,171
240,159,773
241,159,39
242,159,161
243,159,71
244,160,165
245,161,106
246,161,435
247,165,353
248,165,0
249,169,76
250,169,241
251,169,56
252,169,497
253,169,159
254,169,773
255,169,405
256,169,703
257,169,513
258,169,214
259,170,303
260,171,409
261,171,926
262,172,165
263,176,171
264,176,376
265,178,106
266,178,435
267,181,533
268,184,599
269,184,58
270,186,773
271,187,907
272,187,916
273,190,148
274,190,59
275,190,561
276,190,39
277,190,161
278,191,229
279,192,388
280,196,148
281,196,693
282,196,926
283,196,277
284,196,409
285,200,303
286,200,907
287,200,916
288,200,822
289,203,76
290,203,145
291,203,229
292,203,345
293,204,409
294,204,350
295,204,152
296,204,773
297,204,85
298,214,56
299,214,78
300,214,169
301,214,4
302,214,49
303,214,201
304,216,505
305,219,761
306,219,522
307,219,562
308,219,597
309,219,926
310,219,436
311,219,531
312,219,560
313,229,390
314,233,159
315,233,160
316,233,172
317,233,66
318,233,920
319,233,22
320,234,369
321,234,615
322,234,458
323,234,640
324,234,571
325,234,721
326,238,314
327,238,955
328,239,2
329,239,169
330,242,227
331,250,636
332,250,9
333,250,57
334,250,267
335,250,427
336,250,85
337,250,430
338,250,82
339,250,113
340,254,552
341,257,390
342,271,574
343,275,542
344,277,926
345,277,76
346,277,92
347,277,223
348,277,28
349,277,196
350,277,98
351,277,814
352,277,148
353,277,91
354,277,350
355,277,4
356,277,49
357,277,201
358,277,71
359,277,169
360,277,185
361,284,714
362,285,14
363,285,54
364,286,300
365,286,419
366,286,185
367,289,692
368,292,28
369,292,196
370,292,477
371,292,980
372,294,0
373,294,2
374,294,46
375,294,117
376,294,185
377,294,160
378,294,172
379,301,176
380,301,160
381,301,172
382,301,208
383,301,471
384,301,955
385,302,229
386,302,2
387,309,829
388,321,4
389,321,49
390,321,201
391,324,76
392,324,4
393,324,49
394,324,201
395,324,145
396,332,653
397,333,171
398,333,91
399,333,147
400,333,773
401,333,350
402,333,241
403,341,278
404,345,148
405,345,673
406,345,421
407,350,2
408,350,496
409,350,204
410,350,471
411,353,333
412,356,624
413,364,620
414,369,761
415,369,653
416,369,147
417,369,683
418,370,697
419,373,4
420,373,49
421,373,201
422,373,76
423,376,98
424,376,814
425,376,176
426,376,405
427,376,239
428,376,636
429,376,171
430,378,494
431,379,577
432,386,986
433,388,841
434,388,192
435,390,229
436,390,36
437,390,981
438,391,602
439,400,574
440,409,171
441,409,37
442,409,247
443,413,615
444,413,653
445,413,991
446,415,85
447,415,4
448,415,49
449,415,201
450,419,421
451,419,138
452,419,2
453,419,37
454,419,247
455,426,497
456,435,39
457,435,161
458,441,171
459,441,496
