,0,1
471,93,652
472,93,1805
473,93,1973
474,95,10
475,95,58
476,95,268
477,95,428
478,95,364
479,96,172
480,96,1205
481,96,442
482,96,204
483,96,10
484,96,58
485,96,268
486,96,428
487,96,114
488,96,234
489,96,431
490,97,908
491,97,917
492,97,473
493,97,427
494,97,1177
495,97,1050
496,97,254
497,97,1117
498,100,5
499,100,50
500,100,202
501,100,10
502,100,58
503,100,268
504,100,428
505,101,1089
506,102,146
507,103,446
508,103,60
509,103,370
510,103,351
511,103,149
512,106,246
513,106,249
514,106,1256
515,106,1315
516,106,380
517,106,506
518,106,99
519,106,815
520,106,1968
521,106,654
522,106,1807
523,106,110
524,106,242
525,107,1078
526,107,774
527,107,1927
528,107,5
529,107,50
530,107,202
531,107,191
532,107,230
533,107,119
534,107,462
535,108,295
536,108,1400
537,108,275
538,108,137
539,108,10
540,108,58
541,108,268
542,108,428
543,108,40
544,108,162
545,108,431
546,108,406
547,108,377
548,108,186
549,110,230
550,110,242
551,110,279
552,110,5
553,110,50
554,110,202
555,111,831
556,113,514
557,113,40
558,113,162
559,113,295
560,113,119
561,114,352
562,114,750
563,114,805
564,114,1903
565,114,1958
566,114,67
567,114,72
568,114,170
569,114,75
570,114,774
571,114,1927
572,114,432
573,114,40
574,114,162
575,114,79
576,114,192
577,117,230
578,118,62
579,118,51
580,118,406
581,118,351
582,118,86
583,119,774
584,119,1927
585,119,21
586,119,446
587,119,10
588,119,58
589,119,268
590,119,428
591,122,1205
592,122,86
593,122,29
594,122,197
595,122,40
596,122,162
597,122,334
598,122,5
599,122,50
600,122,202
601,122,146
602,122,192
603,122,462
604,123,410
605,124,79
606,124,414
607,126,187
608,127,242
609,127,295
610,127,230
611,127,5
612,127,50
613,127,202
614,130,187
615,134,637
616,134,1790
617,134,244
618,135,462
619,135,5
620,135,50
621,135,202
622,136,23
623,136,169
624,137,225
625,139,5
626,139,50
627,139,202
628,139,406
629,140,351
630,140,139
631,140,186
632,140,79
633,140,334
634,140,166
635,140,40
636,140,162
637,140,230
638,140,225
639,141,75
640,141,1747
641,141,594
642,141,521
643,141,1674
644,141,703
645,141,1856
646,141,1984
647,141,292
648,141,146
649,141,10
650,141,58
651,141,268
652,141,428
653,141,303
654,141,883
655,142,775
656,142,1928
657,145,981
658,145,1109
659,145,1219
660,147,866
661,147,621
662,147,1774
663,148,230
664,148,406
665,149,72
666,149,442
667,149,351
668,149,191
669,150,186
670,150,238
671,150,523
672,150,563
673,150,1676
674,150,1716
675,150,303
676,150,883
677,150,1978
678,150,312
679,150,1531
680,150,10
681,150,58
682,150,268
683,150,428
684,151,1526
685,151,904
686,153,219
687,153,460
688,153,110
689,153,79
690,153,29
691,153,197
692,153,5
693,153,50
694,153,202
695,153,1342
696,154,5
697,154,50
698,154,202
699,156,301
700,156,1520
701,156,442
702,156,219
703,156,460
704,156,1416
705,156,351
706,156,57
707,156,1417
708,156,431
709,156,230
710,158,303
711,158,883
712,158,1233
713,159,1184
714,160,774
715,160,1927
716,160,514
717,160,432
718,160,40
719,160,162
720,160,251
721,160,230
722,161,303
723,161,883
724,161,177
725,161,10
726,161,58
727,161,268
728,161,428
729,162,432
730,162,230
731,162,5
732,162,50
733,162,202
734,163,327
735,163,238
736,163,10
737,163,58
738,163,268
739,163,428
740,164,404
741,165,8
742,165,192
743,165,230
744,165,5
745,165,50
746,165,202
747,166,32
748,166,351
749,166,230
750,166,5
751,166,50
752,166,202
753,169,553
754,169,1706
755,170,246
756,170,249
757,170,172
758,170,774
759,170,1927
760,170,242
761,170,114
762,170,5
763,170,50
764,170,202
765,171,615
766,171,1768
767,171,359
768,172,431
769,172,79
770,172,442
771,172,432
772,172,38
773,172,248
774,172,110
775,173,118
776,173,406
777,173,377
778,173,114
779,173,431
780,173,219
781,173,460
782,173,205
783,173,432
784,173,171
785,173,149
786,173,230
787,173,79
788,175,146
789,175,5
790,175,50
791,175,202
792,176,5
793,176,50
794,176,202
795,176,1399
796,176,304
797,176,1257
798,177,10
799,177,58
800,177,268
801,177,428
802,177,230
803,178,1202
804,178,967
805,178,1194
806,178,1459
807,179,119
808,179,146
809,181,5
810,181,50
811,181,202
812,181,72
813,181,1538
814,182,114
815,182,82
816,182,1511
817,182,219
818,182,460
819,182,137
820,182,40
821,182,162
822,182,57
823,182,279
824,182,110
825,182,170
826,183,774
827,183,1927
828,183,1205
829,183,432
830,183,442
831,183,110
832,184,774
833,184,1927
834,184,5
835,184,50
836,184,202
837,185,591
838,185,1744
839,185,561
840,185,106
841,185,566
842,185,1719
843,185,235
844,185,696
845,185,1849
846,185,641
847,185,1794
848,185,667
849,185,1820
850,185,575
851,185,1728
852,185,206
853,185,927
854,185,461
855,185,10
856,185,58
857,185,268
858,185,428
859,186,10
860,186,58
861,186,268
862,186,428
863,186,160
864,186,334
865,186,287
866,187,5
867,187,50
868,187,202
869,187,774
870,187,1927
871,187,192
872,188,555
873,188,1708
874,188,9
875,188,1033
876,188,967
877,188,897
878,190,983
879,190,230
880,191,431
881,191,1313
882,191,60
883,191,351
884,191,113
885,191,261
886,191,464
887,191,40
888,191,162
889,191,79
890,191,334
891,191,139
892,191,114
893,191,275
894,192,113
895,192,261
896,192,464
897,192,119
898,192,72
899,192,234
900,192,432
901,192,160
902,192,137
903,192,230
904,193,119
905,194,1158
906,197,431
907,197,1599
908,197,186
909,197,442
910,197,351
911,197,147
912,198,1659
913,199,478
914,201,110
915,203,192
916,204,234
917,204,99
918,204,815
919,204,1968
920,204,86
921,204,346
922,204,114
923,205,67
924,205,40
925,205,162
926,205,139
927,205,113
928,205,261
929,205,464
930,205,514
931,205,295
932,205,242
933,205,110
934,205,1538
935,205,230
936,206,682
937,206,1835
938,206,10
939,206,58
940,206,268
941,206,428
942,206,754
943,206,1907
944,206,643
945,206,1796
946,208,361
947,208,122
948,209,6
949,209,775
950,209,1928
951,210,1531
952,211,879
953,211,1616
954,211,5
955,211,50
956,211,202
957,211,1041
958,211,1324
959,211,1355
960,211,1506
961,213,409
962,213,1614
963,213,504
964,213,638
965,213,1791
966,213,1542
967,213,770
968,213,1923
969,214,32
970,214,230
971,214,192
972,214,5
973,214,50
974,214,202
975,215,219
976,215,460
977,217,351
978,217,334
979,217,38
980,217,248
981,217,278
982,218,5
983,218,50
984,218,202
985,218,1417
986,218,674
987,218,1827
988,218,187
989,219,1616
990,219,92
991,219,406
992,219,136
993,219,110
994,219,29
995,219,197
996,219,191
997,219,442
998,219,137
999,220,523
1000,220,563
1001,220,1676
1002,220,1716
1003,220,927
1004,220,577
1005,220,1730
1006,220,1663
1007,220,461
1008,220,512
1009,220,554
1010,220,1707
1011,220,612
1012,220,1765
1013,220,561
1014,220,643
1015,220,1796
1016,220,540
1017,220,1693
1018,222,463
1019,223,186
1020,223,62
1021,223,1985
1022,223,3
1023,223,295
1024,223,139
1025,223,79
1026,223,362
1027,223,110
1028,223,10
1029,223,58
1030,223,268
1031,223,428
1032,224,1078
1033,224,927
1034,224,967
1035,225,38
1036,225,248
1037,225,86
1038,225,219
1039,225,460
1040,225,29
1041,225,197
1042,225,113
1043,225,261
1044,225,464
1045,225,40
1046,225,162
1047,225,234
1048,225,432
1049,225,351
1050,225,186
1051,225,431
1052,225,462
1053,227,10
1054,227,58
1055,227,268
1056,227,428
1057,228,507
1058,228,10
1059,228,58
1060,228,268
1061,228,428
1062,228,123
1063,228,5
1064,228,50
1065,228,202
1066,228,146
1067,231,556
1068,231,1709
1069,231,562
1070,231,1715
1071,231,79
1072,231,67
1073,231,80
1074,231,541
1075,231,1694
1076,231,458
1077,231,257
1078,231,170
1079,231,739
1080,231,1892
1081,231,10
1082,231,58
1083,231,268
1084,231,428
1085,231,139
1086,232,1072
1087,233,10
1088,233,58
1089,233,268
1090,233,428
1091,233,1083
1092,235,637
1093,235,1790
1094,235,654
1095,235,1807
1096,235,437
1097,235,532
1098,235,1685
1099,235,1426
1100,236,774
1101,236,1927
1102,236,79
1103,236,40
1104,236,162
1105,236,562
1106,236,1715
1107,236,1116
1108,236,123
1109,236,230
1110,236,10
1111,236,58
1112,236,268
1113,236,428
1114,236,5
1115,236,50
1116,236,202
1117,237,5
1118,237,50
1119,237,202
1120,238,406
1121,238,438
1122,238,351
1123,240,377
1124,240,5
1125,240,50
1126,240,202
1127,240,40
1128,240,162
1129,240,334
1130,240,295
1131,241,377
1132,241,62
1133,241,431
1134,241,79
1135,241,139
1136,241,186
1137,241,57
1138,241,295
1139,241,10
1140,241,58
1141,241,268
1142,241,428
1143,241,1400
1144,241,161
1145,241,173
1146,242,160
1147,242,108
1148,242,118
1149,242,3
1150,242,472
1151,242,137
1152,242,40
1153,242,162
1154,243,234
1155,243,186
1156,243,351
1157,243,442
1158,243,704
1159,243,1857
1160,243,60
1161,243,32
1162,243,406
1163,243,57
1164,244,230
1165,244,10
1166,244,58
1167,244,268
1168,244,428
1169,245,664
1170,245,1517
1171,245,1817
1172,245,73
1173,245,1376
1174,245,524
1175,245,1677
1176,245,1055
1177,245,878
1178,245,1524
1179,245,1170
1180,245,1619
1181,245,956
1182,245,1658
1183,245,967
1184,246,99
1185,246,815
1186,246,1968
1187,246,1
1188,246,404
1189,248,79
1190,248,113
1191,248,261
1192,248,464
1193,248,774
1194,248,1927
1195,248,114
1196,248,242
1197,249,472
1198,249,146
1199,249,404
1200,249,5
1201,249,50
1202,249,202
1203,249,187
1204,251,29
1205,251,197
1206,251,107
1207,251,436
1208,251,431
1209,251,60
1210,251,351
1211,251,774
1212,251,1927
1213,251,153
1214,251,275
1215,252,824
1216,252,1053
1217,252,964
1218,252,507
1219,252,1209
1220,252,1337
1221,252,1182
1222,256,258
1223,257,256
1224,257,260
1225,257,258
1226,257,107
1227,257,436
1228,257,5
1229,257,50
1230,257,202
1231,257,462
1232,258,586
1233,258,1739
1234,258,1072
1235,258,908
1236,258,917
1237,259,1083
1238,259,829
1239,260,1072
1240,260,495
1241,260,253
1242,261,219
1243,261,460
1244,261,774
1245,261,1927
